Gray,Demarai,Leicester City
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,28
NON_PEN_XG,0.26,75
TOTAL_SHOTS,2.95,92
ASSISTS,0.31,88
XA,0.25,82
NON_PEN_XG+XA,0.51,80
SHOT_CREATIONS,3.42,60
PASSES_ATTEMPTED,36.84,44
PASS_COMPLETION_PERCENTAGE,67.5,12
PROGRESSIVE_PASSES,2.64,35
PROGRESSIVE CARRIES,8.70,91
DRIBBLES_COMPLETED,3.11,91
TOUCHES_IN_AREA,6.99,93
PROGRESSIVE_PASSES_RECIEVED,7.31,68
PRESSURES,9.17,1
TACKLES,0.93,22
INTERCEPTIONS,0.31,3
BLOCKS,0.16,1
CLEARANCES,1.09,89
AERIAL_DUELS_WON,0.16,2
