Albrighton,Marc,Leicester City
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,2
NON_PEN_XG,0.06,3
TOTAL_SHOTS,1.11,11
ASSISTS,0.26,77
XA,0.20,69
NON_PEN_XG+XA,0.27,20
SHOT_CREATIONS,3.20,51
PASSES_ATTEMPTED,44.40,76
PASS_COMPLETION_PERCENTAGE,68.5,18
PROGRESSIVE_PASSES,4.05,78
PROGRESSIVE CARRIES,4.09,12
DRIBBLES_COMPLETED,1.36,33
TOUCHES_IN_AREA,2.13,9
PROGRESSIVE_PASSES_RECIEVED,3.88,6
PRESSURES,17.45,70
TACKLES,2.09,92
INTERCEPTIONS,1.45,94
BLOCKS,1.79,90
CLEARANCES,1.41,97
AERIAL_DUELS_WON,0.77,58
