Amartey,Daniel,Leicester City
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,88
NON_PEN_XG,0.04,49
TOTAL_SHOTS,0.31,23
ASSISTS,0.00,31
XA,0.00,7
NON_PEN_XG+XA,0.04,28
SHOT_CREATIONS,0.72,78
PASSES_ATTEMPTED,54.60,51
PASS_COMPLETION_PERCENTAGE,84.5,34
PROGRESSIVE_PASSES,2.79,55
PROGRESSIVE CARRIES,1.55,24
DRIBBLES_COMPLETED,0.10,16
TOUCHES_IN_AREA,0.83,57
PROGRESSIVE_PASSES_RECIEVED,0.10,26
PRESSURES,7.12,24
TACKLES,1.34,41
INTERCEPTIONS,1.24,41
BLOCKS,1.96,76
CLEARANCES,4.85,44
AERIAL_DUELS_WON,2.68,57
