Tielemans,Youri,Leicester City
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,74
NON_PEN_XG,0.07,63
TOTAL_SHOTS,1.18,69
ASSISTS,0.09,63
XA,0.09,65
NON_PEN_XG+XA,0.16,64
SHOT_CREATIONS,2.87,87
PASSES_ATTEMPTED,67.23,85
PASS_COMPLETION_PERCENTAGE,78.9,19
PROGRESSIVE_PASSES,5.62,84
PROGRESSIVE CARRIES,4.21,52
DRIBBLES_COMPLETED,1.11,71
TOUCHES_IN_AREA,1.02,51
PROGRESSIVE_PASSES_RECIEVED,2.06,62
PRESSURES,13.64,12
TACKLES,1.96,37
INTERCEPTIONS,0.90,19
BLOCKS,1.50,43
CLEARANCES,0.76,15
AERIAL_DUELS_WON,0.99,42
