Choudhury,Hamza,Leicester City
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,79
NON_PEN_XG,0.07,63
TOTAL_SHOTS,0.95,55
ASSISTS,0.00,12
XA,0.00,1
NON_PEN_XG+XA,0.07,18
SHOT_CREATIONS,0.72,3
PASSES_ATTEMPTED,58.77,68
PASS_COMPLETION_PERCENTAGE,83.0,40
PROGRESSIVE_PASSES,1.79,3
PROGRESSIVE CARRIES,2.03,8
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,0.72,29
PROGRESSIVE_PASSES_RECIEVED,1.07,24
PRESSURES,13.35,10
TACKLES,2.50,66
INTERCEPTIONS,1.43,62
BLOCKS,2.50,98
CLEARANCES,1.19,40
AERIAL_DUELS_WON,1.19,53
