Ünder,Cengiz,Leicester City
AM,RAM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,15
NON_PEN_XG,0.24,66
TOTAL_SHOTS,3.75,97
ASSISTS,0.33,91
XA,0.28,88
NON_PEN_XG+XA,0.52,80
SHOT_CREATIONS,4.09,81
PASSES_ATTEMPTED,39.64,60
PASS_COMPLETION_PERCENTAGE,72.1,30
PROGRESSIVE_PASSES,3.20,53
PROGRESSIVE CARRIES,8.83,91
DRIBBLES_COMPLETED,3.09,91
TOUCHES_IN_AREA,4.09,57
PROGRESSIVE_PASSES_RECIEVED,9.17,93
PRESSURES,11.04,10
TACKLES,1.44,60
INTERCEPTIONS,0.99,76
BLOCKS,1.10,39
CLEARANCES,0.44,44
AERIAL_DUELS_WON,0.11,1
