Evans,Jonny,Leicester City
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,72
NON_PEN_XG,0.06,79
TOTAL_SHOTS,0.34,26
ASSISTS,0.06,92
XA,0.02,58
NON_PEN_XG+XA,0.07,73
SHOT_CREATIONS,0.65,71
PASSES_ATTEMPTED,65.72,80
PASS_COMPLETION_PERCENTAGE,87.5,60
PROGRESSIVE_PASSES,2.35,42
PROGRESSIVE CARRIES,2.13,36
DRIBBLES_COMPLETED,0.22,49
TOUCHES_IN_AREA,0.83,58
PROGRESSIVE_PASSES_RECIEVED,0.19,51
PRESSURES,6.12,10
TACKLES,0.83,6
INTERCEPTIONS,1.36,53
BLOCKS,0.96,1
CLEARANCES,5.13,52
AERIAL_DUELS_WON,3.43,84
