Fuchs,Christian,Leicester City
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,4
TOTAL_SHOTS,0.45,47
ASSISTS,0.00,31
XA,0.00,7
NON_PEN_XG+XA,0.01,1
SHOT_CREATIONS,0.36,22
PASSES_ATTEMPTED,72.57,90
PASS_COMPLETION_PERCENTAGE,82.4,18
PROGRESSIVE_PASSES,3.49,73
PROGRESSIVE CARRIES,2.77,54
DRIBBLES_COMPLETED,0.09,14
TOUCHES_IN_AREA,0.18,2
PROGRESSIVE_PASSES_RECIEVED,0.27,66
PRESSURES,11.17,80
TACKLES,1.52,54
INTERCEPTIONS,1.34,53
BLOCKS,2.23,93
CLEARANCES,3.75,11
AERIAL_DUELS_WON,2.23,36
