Vardy,Jamie,Leicester City
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,18
NON_PEN_XG,0.39,64
TOTAL_SHOTS,2.27,41
ASSISTS,0.26,88
XA,0.16,71
NON_PEN_XG+XA,0.56,71
SHOT_CREATIONS,2.01,39
PASSES_ATTEMPTED,14.70,1
PASS_COMPLETION_PERCENTAGE,66.1,14
PROGRESSIVE_PASSES,0.87,17
PROGRESSIVE CARRIES,2.36,40
DRIBBLES_COMPLETED,0.96,43
TOUCHES_IN_AREA,5.71,69
PROGRESSIVE_PASSES_RECIEVED,7.34,46
PRESSURES,9.20,9
TACKLES,0.47,26
INTERCEPTIONS,0.26,37
BLOCKS,0.50,18
CLEARANCES,0.90,78
AERIAL_DUELS_WON,1.89,56
