Praet,Dennis,Leicester City
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,34
NON_PEN_XG,0.15,29
TOTAL_SHOTS,1.17,12
ASSISTS,0.08,13
XA,0.08,7
NON_PEN_XG+XA,0.23,11
SHOT_CREATIONS,1.84,6
PASSES_ATTEMPTED,38.30,53
PASS_COMPLETION_PERCENTAGE,79.0,72
PROGRESSIVE_PASSES,2.35,25
PROGRESSIVE CARRIES,4.11,12
DRIBBLES_COMPLETED,1.42,36
TOUCHES_IN_AREA,3.77,50
PROGRESSIVE_PASSES_RECIEVED,6.20,42
PRESSURES,16.84,64
TACKLES,1.59,74
INTERCEPTIONS,1.34,93
BLOCKS,1.93,94
CLEARANCES,0.25,18
AERIAL_DUELS_WON,0.67,53
