"b'Soyuncu, Caglar'",Leicester City
CB,LCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,55
NON_PEN_XG,0.03,27
TOTAL_SHOTS,0.45,47
ASSISTS,0.00,31
XA,0.01,38
NON_PEN_XG+XA,0.04,22
SHOT_CREATIONS,0.45,37
PASSES_ATTEMPTED,67.53,83
PASS_COMPLETION_PERCENTAGE,88.6,69
PROGRESSIVE_PASSES,3.84,82
PROGRESSIVE CARRIES,5.00,88
DRIBBLES_COMPLETED,0.31,70
TOUCHES_IN_AREA,1.07,82
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,8.13,41
TACKLES,1.52,54
INTERCEPTIONS,1.30,49
BLOCKS,1.25,10
CLEARANCES,6.12,79
AERIAL_DUELS_WON,3.26,79
