Webster,Adam,Brighton
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,46
NON_PEN_XG,0.04,49
TOTAL_SHOTS,0.83,93
ASSISTS,0.00,31
XA,0.01,33
NON_PEN_XG+XA,0.05,37
SHOT_CREATIONS,0.69,75
PASSES_ATTEMPTED,62.24,73
PASS_COMPLETION_PERCENTAGE,82.7,20
PROGRESSIVE_PASSES,3.82,80
PROGRESSIVE CARRIES,5.62,93
DRIBBLES_COMPLETED,0.24,57
TOUCHES_IN_AREA,1.14,85
PROGRESSIVE_PASSES_RECIEVED,0.14,33
PRESSURES,7.42,28
TACKLES,1.04,18
INTERCEPTIONS,1.39,56
BLOCKS,1.77,63
CLEARANCES,4.27,25
AERIAL_DUELS_WON,3.12,75
