March,Solly,Brighton
DF,FW,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,88
NON_PEN_XG,0.09,88
TOTAL_SHOTS,1.18,91
ASSISTS,0.05,35
XA,0.09,58
NON_PEN_XG+XA,0.18,75
SHOT_CREATIONS,2.80,92
PASSES_ATTEMPTED,52.48,45
PASS_COMPLETION_PERCENTAGE,69.8,8
PROGRESSIVE_PASSES,4.14,66
PROGRESSIVE CARRIES,7.54,94
DRIBBLES_COMPLETED,1.88,94
TOUCHES_IN_AREA,3.18,94
PROGRESSIVE_PASSES_RECIEVED,3.55,88
PRESSURES,12.92,55
TACKLES,3.01,90
INTERCEPTIONS,1.02,26
BLOCKS,2.69,93
CLEARANCES,0.86,1
AERIAL_DUELS_WON,0.92,32
