Trossard,Leandro,Brighton
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,37
NON_PEN_XG,0.18,37
TOTAL_SHOTS,2.00,49
ASSISTS,0.17,47
XA,0.15,37
NON_PEN_XG+XA,0.32,33
SHOT_CREATIONS,3.45,61
PASSES_ATTEMPTED,37.46,48
PASS_COMPLETION_PERCENTAGE,74.9,44
PROGRESSIVE_PASSES,4.28,81
PROGRESSIVE CARRIES,5.73,47
DRIBBLES_COMPLETED,1.45,38
TOUCHES_IN_AREA,4.59,67
PROGRESSIVE_PASSES_RECIEVED,7.66,73
PRESSURES,14.67,39
TACKLES,0.93,22
INTERCEPTIONS,0.83,59
BLOCKS,1.42,73
CLEARANCES,0.17,8
AERIAL_DUELS_WON,0.21,8
