Mac Allister,Alexis,Brighton
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,10
NON_PEN_XG,0.09,7
TOTAL_SHOTS,2.10,55
ASSISTS,0.08,12
XA,0.19,66
NON_PEN_XG+XA,0.28,23
SHOT_CREATIONS,2.42,19
PASSES_ATTEMPTED,32.85,26
PASS_COMPLETION_PERCENTAGE,79.4,74
PROGRESSIVE_PASSES,2.91,42
PROGRESSIVE CARRIES,3.39,6
DRIBBLES_COMPLETED,1.21,26
TOUCHES_IN_AREA,3.07,30
PROGRESSIVE_PASSES_RECIEVED,5.25,25
PRESSURES,21.55,95
TACKLES,2.02,89
INTERCEPTIONS,0.89,69
BLOCKS,1.61,84
CLEARANCES,0.40,39
AERIAL_DUELS_WON,0.81,61
