Sánchez,Robert,Brighton
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.18,95
GOALS_CONCEDED,1.00,88
SAVE_PERCENTAGE,71.3,72
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.34,89
PENALTY_SAVE_PERCENTAGE,0.0,18
CLEAN_SHEET_PERCENTAGE,37.0,83
TOUCHES,42.52,88
LAUNCH_PERCENTAGE,40.5,48
GOAL_KICKS,6.56,30
AVG_GOAL_KICK_DISTANCE,46.7,57
CROSSES_STOPPED_PERCENTAGE,5.2,12
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.52,35
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.4,48
