Alzate,Steven,Brighton
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,76
NON_PEN_XG,0.07,62
TOTAL_SHOTS,0.70,37
ASSISTS,0.00,12
XA,0.05,33
NON_PEN_XG+XA,0.11,40
SHOT_CREATIONS,2.51,78
PASSES_ATTEMPTED,44.80,29
PASS_COMPLETION_PERCENTAGE,89.5,89
PROGRESSIVE_PASSES,3.52,39
PROGRESSIVE CARRIES,4.92,69
DRIBBLES_COMPLETED,0.80,52
TOUCHES_IN_AREA,1.61,73
PROGRESSIVE_PASSES_RECIEVED,2.21,64
PRESSURES,15.97,28
TACKLES,1.91,33
INTERCEPTIONS,0.70,7
BLOCKS,1.61,53
CLEARANCES,0.90,22
AERIAL_DUELS_WON,0.60,17
