Bissouma,Yves,Brighton
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,32
NON_PEN_XG,0.03,29
TOTAL_SHOTS,1.22,71
ASSISTS,0.00,12
XA,0.03,15
NON_PEN_XG+XA,0.06,16
SHOT_CREATIONS,1.50,36
PASSES_ATTEMPTED,48.49,38
PASS_COMPLETION_PERCENTAGE,87.2,74
PROGRESSIVE_PASSES,3.30,29
PROGRESSIVE CARRIES,4.54,62
DRIBBLES_COMPLETED,1.45,85
TOUCHES_IN_AREA,0.41,12
PROGRESSIVE_PASSES_RECIEVED,0.75,12
PRESSURES,15.62,25
TACKLES,3.30,90
INTERCEPTIONS,1.74,79
BLOCKS,1.62,53
CLEARANCES,1.94,78
AERIAL_DUELS_WON,1.10,49
