Maupay,Neal,Brighton
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,9
NON_PEN_XG,0.35,52
TOTAL_SHOTS,2.40,46
ASSISTS,0.07,29
XA,0.13,56
NON_PEN_XG+XA,0.48,52
SHOT_CREATIONS,2.83,69
PASSES_ATTEMPTED,23.50,52
PASS_COMPLETION_PERCENTAGE,77.4,79
PROGRESSIVE_PASSES,1.47,53
PROGRESSIVE CARRIES,3.19,64
DRIBBLES_COMPLETED,0.86,34
TOUCHES_IN_AREA,6.13,77
PROGRESSIVE_PASSES_RECIEVED,8.38,62
PRESSURES,17.02,81
TACKLES,0.86,70
INTERCEPTIONS,0.43,74
BLOCKS,0.64,39
CLEARANCES,0.32,17
AERIAL_DUELS_WON,0.93,20
