Lamptey,Tariq,Brighton
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,86
NON_PEN_XG,0.06,74
TOTAL_SHOTS,0.61,54
ASSISTS,0.10,60
XA,0.11,69
NON_PEN_XG+XA,0.17,72
SHOT_CREATIONS,2.44,84
PASSES_ATTEMPTED,50.79,36
PASS_COMPLETION_PERCENTAGE,78.0,48
PROGRESSIVE_PASSES,2.74,15
PROGRESSIVE CARRIES,8.63,97
DRIBBLES_COMPLETED,1.73,92
TOUCHES_IN_AREA,3.35,94
PROGRESSIVE_PASSES_RECIEVED,3.76,89
PRESSURES,12.60,49
TACKLES,1.73,32
INTERCEPTIONS,1.32,59
BLOCKS,1.52,17
CLEARANCES,1.73,18
AERIAL_DUELS_WON,0.51,12
