Mee,Ben,Burnley
CB,LCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,77
NON_PEN_XG,0.05,66
TOTAL_SHOTS,0.74,87
ASSISTS,0.00,31
XA,0.01,42
NON_PEN_XG+XA,0.07,63
SHOT_CREATIONS,0.37,24
PASSES_ATTEMPTED,34.89,6
PASS_COMPLETION_PERCENTAGE,75.1,3
PROGRESSIVE_PASSES,2.14,31
PROGRESSIVE CARRIES,0.53,2
DRIBBLES_COMPLETED,0.10,15
TOUCHES_IN_AREA,1.47,96
PROGRESSIVE_PASSES_RECIEVED,0.13,32
PRESSURES,5.41,5
TACKLES,1.27,32
INTERCEPTIONS,1.17,36
BLOCKS,2.04,80
CLEARANCES,8.05,98
AERIAL_DUELS_WON,4.28,96
