Barnes,Ashley,Burnley
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,5
NON_PEN_XG,0.30,30
TOTAL_SHOTS,2.64,63
ASSISTS,0.00,4
XA,0.05,7
NON_PEN_XG+XA,0.34,15
SHOT_CREATIONS,2.43,61
PASSES_ATTEMPTED,20.76,31
PASS_COMPLETION_PERCENTAGE,63.5,10
PROGRESSIVE_PASSES,1.35,47
PROGRESSIVE CARRIES,1.76,25
DRIBBLES_COMPLETED,0.14,1
TOUCHES_IN_AREA,4.67,34
PROGRESSIVE_PASSES_RECIEVED,6.83,35
PRESSURES,13.66,46
TACKLES,1.08,83
INTERCEPTIONS,0.34,56
BLOCKS,1.01,78
CLEARANCES,0.61,41
AERIAL_DUELS_WON,3.72,80
