Ward,Joel,Crystal Palace
DM,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.00,4
TOTAL_SHOTS,0.08,1
ASSISTS,0.04,26
XA,0.02,2
NON_PEN_XG+XA,0.02,1
SHOT_CREATIONS,0.60,1
PASSES_ATTEMPTED,43.01,13
PASS_COMPLETION_PERCENTAGE,72.6,19
PROGRESSIVE_PASSES,2.75,16
PROGRESSIVE CARRIES,2.11,4
DRIBBLES_COMPLETED,0.40,12
TOUCHES_IN_AREA,0.36,3
PROGRESSIVE_PASSES_RECIEVED,0.60,3
PRESSURES,14.20,72
TACKLES,1.84,40
INTERCEPTIONS,2.07,96
BLOCKS,1.95,52
CLEARANCES,4.59,98
AERIAL_DUELS_WON,2.35,95
