Tomkins,James,Crystal Palace
CB,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,34
TOTAL_SHOTS,0.33,25
ASSISTS,0.00,31
XA,0.02,59
NON_PEN_XG+XA,0.05,38
SHOT_CREATIONS,0.49,47
PASSES_ATTEMPTED,26.69,1
PASS_COMPLETION_PERCENTAGE,78.7,7
PROGRESSIVE_PASSES,0.65,1
PROGRESSIVE CARRIES,0.65,3
DRIBBLES_COMPLETED,0.00,2
TOUCHES_IN_AREA,0.98,72
PROGRESSIVE_PASSES_RECIEVED,0.16,42
PRESSURES,6.35,14
TACKLES,0.98,14
INTERCEPTIONS,0.81,8
BLOCKS,1.30,14
CLEARANCES,8.46,99
AERIAL_DUELS_WON,2.28,37
