Zaha,Wilfried,Crystal Palace
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.31,37
NON_PEN_XG,0.20,6
TOTAL_SHOTS,2.03,28
ASSISTS,0.07,29
XA,0.11,47
NON_PEN_XG+XA,0.32,10
SHOT_CREATIONS,2.93,73
PASSES_ATTEMPTED,26.81,68
PASS_COMPLETION_PERCENTAGE,75.8,70
PROGRESSIVE_PASSES,2.48,82
PROGRESSIVE CARRIES,6.27,93
DRIBBLES_COMPLETED,2.03,88
TOUCHES_IN_AREA,5.41,56
PROGRESSIVE_PASSES_RECIEVED,7.96,54
PRESSURES,19.57,92
TACKLES,1.17,91
INTERCEPTIONS,0.93,99
BLOCKS,0.72,48
CLEARANCES,0.07,3
AERIAL_DUELS_WON,0.34,3
