Guaita,Vicente,Crystal Palace
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.06,39
GOALS_CONCEDED,1.73,12
SAVE_PERCENTAGE,63.7,15
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.36,96
PENALTY_SAVE_PERCENTAGE,25.0,74
CLEAN_SHEET_PERCENTAGE,21.6,36
TOUCHES,31.57,18
LAUNCH_PERCENTAGE,58.9,88
GOAL_KICKS,8.49,88
AVG_GOAL_KICK_DISTANCE,60.9,94
CROSSES_STOPPED_PERCENTAGE,7.1,48
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.41,17
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,13.1,19
