McCarthy,James,Crystal Palace
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.11,1
ASSISTS,0.00,12
XA,0.03,19
NON_PEN_XG+XA,0.03,3
SHOT_CREATIONS,1.32,26
PASSES_ATTEMPTED,36.07,12
PASS_COMPLETION_PERCENTAGE,77.2,12
PROGRESSIVE_PASSES,2.63,15
PROGRESSIVE CARRIES,1.64,5
DRIBBLES_COMPLETED,0.33,6
TOUCHES_IN_AREA,0.11,1
PROGRESSIVE_PASSES_RECIEVED,0.44,3
PRESSURES,19.84,67
TACKLES,1.97,38
INTERCEPTIONS,0.88,18
BLOCKS,2.19,87
CLEARANCES,1.32,46
AERIAL_DUELS_WON,0.77,29
