Mitchell,Tyrick,Crystal Palace
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,61
NON_PEN_XG,0.02,31
TOTAL_SHOTS,0.11,3
ASSISTS,0.05,33
XA,0.02,5
NON_PEN_XG+XA,0.04,5
SHOT_CREATIONS,0.47,1
PASSES_ATTEMPTED,41.00,9
PASS_COMPLETION_PERCENTAGE,70.2,10
PROGRESSIVE_PASSES,2.89,19
PROGRESSIVE CARRIES,1.63,1
DRIBBLES_COMPLETED,0.79,54
TOUCHES_IN_AREA,0.53,11
PROGRESSIVE_PASSES_RECIEVED,0.63,3
PRESSURES,21.26,99
TACKLES,3.63,97
INTERCEPTIONS,1.58,78
BLOCKS,2.68,92
CLEARANCES,3.53,87
AERIAL_DUELS_WON,0.84,26
