Schlupp,Jeffrey,Crystal Palace
LB,DF,FW-MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,17
NON_PEN_XG,0.10,10
TOTAL_SHOTS,1.13,12
ASSISTS,0.19,53
XA,0.11,16
NON_PEN_XG+XA,0.21,6
SHOT_CREATIONS,2.14,10
PASSES_ATTEMPTED,27.04,10
PASS_COMPLETION_PERCENTAGE,70.9,27
PROGRESSIVE_PASSES,2.27,23
PROGRESSIVE CARRIES,3.72,8
DRIBBLES_COMPLETED,2.02,67
TOUCHES_IN_AREA,3.40,40
PROGRESSIVE_PASSES_RECIEVED,5.29,26
PRESSURES,15.57,51
TACKLES,2.33,97
INTERCEPTIONS,1.32,92
BLOCKS,2.21,97
CLEARANCES,0.95,84
AERIAL_DUELS_WON,2.02,94
