Willock,Joe,Newcastle Utd
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.64,99
NON_PEN_XG,0.26,99
TOTAL_SHOTS,1.67,91
ASSISTS,0.17,86
XA,0.09,66
NON_PEN_XG+XA,0.35,95
SHOT_CREATIONS,2.71,83
PASSES_ATTEMPTED,30.08,3
PASS_COMPLETION_PERCENTAGE,81.2,30
PROGRESSIVE_PASSES,2.60,14
PROGRESSIVE CARRIES,4.39,57
DRIBBLES_COMPLETED,1.73,92
TOUCHES_IN_AREA,5.20,99
PROGRESSIVE_PASSES_RECIEVED,4.56,92
PRESSURES,26.84,98
TACKLES,2.66,73
INTERCEPTIONS,2.42,98
BLOCKS,2.71,99
CLEARANCES,0.98,27
AERIAL_DUELS_WON,1.27,57
