Hendrick,Jeff,Newcastle Utd
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,81
NON_PEN_XG,0.07,62
TOTAL_SHOTS,0.70,37
ASSISTS,0.06,51
XA,0.04,29
NON_PEN_XG+XA,0.11,42
SHOT_CREATIONS,0.89,6
PASSES_ATTEMPTED,33.73,6
PASS_COMPLETION_PERCENTAGE,80.5,26
PROGRESSIVE_PASSES,2.22,7
PROGRESSIVE CARRIES,1.39,3
DRIBBLES_COMPLETED,0.63,36
TOUCHES_IN_AREA,1.08,54
PROGRESSIVE_PASSES_RECIEVED,1.01,21
PRESSURES,10.95,2
TACKLES,0.38,1
INTERCEPTIONS,0.76,9
BLOCKS,1.52,45
CLEARANCES,1.77,72
AERIAL_DUELS_WON,0.95,41
