Dummett,Paul,Newcastle Utd
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,79
NON_PEN_XG,0.02,20
TOTAL_SHOTS,0.22,8
ASSISTS,0.00,31
XA,0.04,92
NON_PEN_XG+XA,0.06,50
SHOT_CREATIONS,0.36,23
PASSES_ATTEMPTED,38.37,12
PASS_COMPLETION_PERCENTAGE,76.8,4
PROGRESSIVE_PASSES,1.65,12
PROGRESSIVE CARRIES,0.93,7
DRIBBLES_COMPLETED,0.14,27
TOUCHES_IN_AREA,0.50,20
PROGRESSIVE_PASSES_RECIEVED,0.22,58
PRESSURES,8.53,46
TACKLES,1.51,53
INTERCEPTIONS,1.22,40
BLOCKS,2.15,87
CLEARANCES,6.81,90
AERIAL_DUELS_WON,2.80,62
