Lascelles,Jamaal,Newcastle Utd
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,91
NON_PEN_XG,0.06,69
TOTAL_SHOTS,0.83,93
ASSISTS,0.00,31
XA,0.00,7
NON_PEN_XG+XA,0.06,47
SHOT_CREATIONS,0.22,6
PASSES_ATTEMPTED,33.18,4
PASS_COMPLETION_PERCENTAGE,81.3,14
PROGRESSIVE_PASSES,1.77,17
PROGRESSIVE CARRIES,0.78,5
DRIBBLES_COMPLETED,0.11,19
TOUCHES_IN_AREA,0.94,69
PROGRESSIVE_PASSES_RECIEVED,0.17,44
PRESSURES,8.20,43
TACKLES,1.05,19
INTERCEPTIONS,0.83,9
BLOCKS,2.16,87
CLEARANCES,5.98,76
AERIAL_DUELS_WON,2.94,68
