Darlow,Karl,Newcastle Utd
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.16,23
GOALS_CONCEDED,1.72,13
SAVE_PERCENTAGE,66.7,38
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.28,31
PENALTY_SAVE_PERCENTAGE,25.0,74
CLEAN_SHEET_PERCENTAGE,16.0,17
TOUCHES,32.72,24
LAUNCH_PERCENTAGE,68.4,93
GOAL_KICKS,8.80,96
AVG_GOAL_KICK_DISTANCE,60.2,92
CROSSES_STOPPED_PERCENTAGE,9.2,81
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.24,2
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,12.2,3
