Ritchie,Matt,Newcastle Utd
DM,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.03,39
TOTAL_SHOTS,0.73,68
ASSISTS,0.13,75
XA,0.10,64
NON_PEN_XG+XA,0.13,52
SHOT_CREATIONS,2.67,88
PASSES_ATTEMPTED,40.47,8
PASS_COMPLETION_PERCENTAGE,67.7,4
PROGRESSIVE_PASSES,2.47,10
PROGRESSIVE CARRIES,3.40,21
DRIBBLES_COMPLETED,0.40,13
TOUCHES_IN_AREA,0.87,24
PROGRESSIVE_PASSES_RECIEVED,0.93,7
PRESSURES,10.13,18
TACKLES,1.13,6
INTERCEPTIONS,1.53,73
BLOCKS,2.07,61
CLEARANCES,2.87,68
AERIAL_DUELS_WON,1.00,40
