Fraser,Ryan,Newcastle Utd
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,1
NON_PEN_XG,0.09,6
TOTAL_SHOTS,1.26,14
ASSISTS,0.19,54
XA,0.20,69
NON_PEN_XG+XA,0.29,26
SHOT_CREATIONS,3.69,70
PASSES_ATTEMPTED,35.79,38
PASS_COMPLETION_PERCENTAGE,65.9,6
PROGRESSIVE_PASSES,1.65,6
PROGRESSIVE CARRIES,4.46,16
DRIBBLES_COMPLETED,0.39,1
TOUCHES_IN_AREA,2.52,15
PROGRESSIVE_PASSES_RECIEVED,4.36,12
PRESSURES,11.06,11
TACKLES,0.39,1
INTERCEPTIONS,0.29,2
BLOCKS,0.78,11
CLEARANCES,0.29,22
AERIAL_DUELS_WON,0.48,34
