Phillips,Matt,West Brom
AM,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,13
NON_PEN_XG,0.12,17
TOTAL_SHOTS,1.08,11
ASSISTS,0.05,8
XA,0.15,40
NON_PEN_XG+XA,0.28,22
SHOT_CREATIONS,2.17,11
PASSES_ATTEMPTED,27.92,11
PASS_COMPLETION_PERCENTAGE,69.3,22
PROGRESSIVE_PASSES,2.07,18
PROGRESSIVE CARRIES,4.04,11
DRIBBLES_COMPLETED,1.38,33
TOUCHES_IN_AREA,3.00,28
PROGRESSIVE_PASSES_RECIEVED,3.00,2
PRESSURES,14.97,44
TACKLES,1.03,32
INTERCEPTIONS,0.94,71
BLOCKS,2.36,97
CLEARANCES,1.13,91
AERIAL_DUELS_WON,0.74,58
