"b'Ivanovic, Branislav'",West Brom
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.07,84
TOTAL_SHOTS,0.47,51
ASSISTS,0.00,31
XA,0.01,49
NON_PEN_XG+XA,0.07,69
SHOT_CREATIONS,0.12,1
PASSES_ATTEMPTED,36.49,9
PASS_COMPLETION_PERCENTAGE,85.2,40
PROGRESSIVE_PASSES,1.17,5
PROGRESSIVE CARRIES,0.47,1
DRIBBLES_COMPLETED,0.00,2
TOUCHES_IN_AREA,0.70,42
PROGRESSIVE_PASSES_RECIEVED,0.12,28
PRESSURES,9.74,61
TACKLES,1.64,64
INTERCEPTIONS,0.35,1
BLOCKS,1.76,62
CLEARANCES,3.64,9
AERIAL_DUELS_WON,2.23,35
