Pereira,Matheus,West Brom
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,62
NON_PEN_XG,0.14,25
TOTAL_SHOTS,2.13,56
ASSISTS,0.21,62
XA,0.19,61
NON_PEN_XG+XA,0.33,35
SHOT_CREATIONS,3.60,66
PASSES_ATTEMPTED,37.23,47
PASS_COMPLETION_PERCENTAGE,71.8,29
PROGRESSIVE_PASSES,3.32,57
PROGRESSIVE CARRIES,5.59,44
DRIBBLES_COMPLETED,1.36,33
TOUCHES_IN_AREA,2.90,25
PROGRESSIVE_PASSES_RECIEVED,5.13,23
PRESSURES,16.03,56
TACKLES,1.15,38
INTERCEPTIONS,1.01,78
BLOCKS,1.05,33
CLEARANCES,0.63,61
AERIAL_DUELS_WON,0.52,37
