Ajayi,Semi,West Brom
CB,RCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,73
NON_PEN_XG,0.04,51
TOTAL_SHOTS,0.42,42
ASSISTS,0.00,31
XA,0.01,41
NON_PEN_XG+XA,0.05,37
SHOT_CREATIONS,0.45,38
PASSES_ATTEMPTED,30.69,3
PASS_COMPLETION_PERCENTAGE,74.4,2
PROGRESSIVE_PASSES,2.07,29
PROGRESSIVE CARRIES,0.94,7
DRIBBLES_COMPLETED,0.39,80
TOUCHES_IN_AREA,1.17,88
PROGRESSIVE_PASSES_RECIEVED,0.19,53
PRESSURES,11.01,78
TACKLES,1.88,72
INTERCEPTIONS,1.33,52
BLOCKS,2.01,78
CLEARANCES,4.79,43
AERIAL_DUELS_WON,2.75,61
