Diagne,Mbaye,West Brom
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,17
NON_PEN_XG,0.38,60
TOTAL_SHOTS,1.89,19
ASSISTS,0.15,57
XA,0.13,55
NON_PEN_XG+XA,0.51,61
SHOT_CREATIONS,2.20,48
PASSES_ATTEMPTED,17.41,15
PASS_COMPLETION_PERCENTAGE,70.4,35
PROGRESSIVE_PASSES,1.21,37
PROGRESSIVE CARRIES,0.76,1
DRIBBLES_COMPLETED,0.98,48
TOUCHES_IN_AREA,3.63,7
PROGRESSIVE_PASSES_RECIEVED,5.00,3
PRESSURES,10.45,13
TACKLES,0.61,43
INTERCEPTIONS,0.15,8
BLOCKS,0.53,22
CLEARANCES,1.29,93
AERIAL_DUELS_WON,3.63,79
