Rüdiger,Antonio,Chelsea
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,44
NON_PEN_XG,0.04,54
TOTAL_SHOTS,0.65,78
ASSISTS,0.03,76
XA,0.03,82
NON_PEN_XG+XA,0.07,70
SHOT_CREATIONS,0.62,66
PASSES_ATTEMPTED,71.64,89
PASS_COMPLETION_PERCENTAGE,89.9,80
PROGRESSIVE_PASSES,2.43,45
PROGRESSIVE CARRIES,3.59,70
DRIBBLES_COMPLETED,0.17,35
TOUCHES_IN_AREA,0.75,49
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,8.41,45
TACKLES,1.30,36
INTERCEPTIONS,0.79,6
BLOCKS,1.20,8
CLEARANCES,4.61,36
AERIAL_DUELS_WON,2.70,58
