Azpilicueta,César,Chelsea
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,36
NON_PEN_XG,0.03,39
TOTAL_SHOTS,0.43,43
ASSISTS,0.06,89
XA,0.08,99
NON_PEN_XG+XA,0.12,95
SHOT_CREATIONS,1.57,99
PASSES_ATTEMPTED,78.71,96
PASS_COMPLETION_PERCENTAGE,86.3,48
PROGRESSIVE_PASSES,4.46,90
PROGRESSIVE CARRIES,4.17,79
DRIBBLES_COMPLETED,0.23,53
TOUCHES_IN_AREA,1.46,95
PROGRESSIVE_PASSES_RECIEVED,1.37,99
PRESSURES,15.17,98
TACKLES,2.20,85
INTERCEPTIONS,1.43,57
BLOCKS,1.71,56
CLEARANCES,4.09,21
AERIAL_DUELS_WON,2.46,45
