Tomori,Fikayo,Chelsea
CB,LCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,59
NON_PEN_XG,0.02,15
TOTAL_SHOTS,0.24,13
ASSISTS,0.00,31
XA,0.00,7
NON_PEN_XG+XA,0.02,5
SHOT_CREATIONS,0.24,9
PASSES_ATTEMPTED,53.78,49
PASS_COMPLETION_PERCENTAGE,89.3,76
PROGRESSIVE_PASSES,2.02,25
PROGRESSIVE CARRIES,1.54,24
DRIBBLES_COMPLETED,0.29,66
TOUCHES_IN_AREA,0.48,18
PROGRESSIVE_PASSES_RECIEVED,0.14,36
PRESSURES,12.65,89
TACKLES,2.21,86
INTERCEPTIONS,1.49,61
BLOCKS,2.50,98
CLEARANCES,5.15,53
AERIAL_DUELS_WON,1.97,22
