Ziyech,Hakim,Chelsea
,,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,59
NON_PEN_XG,0.20,47
TOTAL_SHOTS,2.84,88
ASSISTS,0.18,48
XA,0.30,92
NON_PEN_XG+XA,0.49,76
SHOT_CREATIONS,5.33,96
PASSES_ATTEMPTED,55.92,94
PASS_COMPLETION_PERCENTAGE,74.9,44
PROGRESSIVE_PASSES,5.80,95
PROGRESSIVE CARRIES,6.04,53
DRIBBLES_COMPLETED,1.42,35
TOUCHES_IN_AREA,3.31,39
PROGRESSIVE_PASSES_RECIEVED,6.98,63
PRESSURES,17.63,71
TACKLES,1.12,37
INTERCEPTIONS,0.89,68
BLOCKS,1.18,47
CLEARANCES,0.18,9
AERIAL_DUELS_WON,0.36,18
