Pulisic,Christian,Chelsea
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,64
NON_PEN_XG,0.32,87
TOTAL_SHOTS,2.42,71
ASSISTS,0.17,42
XA,0.19,65
NON_PEN_XG+XA,0.52,80
SHOT_CREATIONS,3.58,66
PASSES_ATTEMPTED,36.15,41
PASS_COMPLETION_PERCENTAGE,79.7,76
PROGRESSIVE_PASSES,3.33,58
PROGRESSIVE CARRIES,8.58,90
DRIBBLES_COMPLETED,2.62,85
TOUCHES_IN_AREA,6.46,87
PROGRESSIVE_PASSES_RECIEVED,8.29,82
PRESSURES,17.20,68
TACKLES,1.21,43
INTERCEPTIONS,0.50,20
BLOCKS,1.46,75
CLEARANCES,0.42,39
AERIAL_DUELS_WON,1.04,75
