Lallana,Adam,Brighton
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,58
NON_PEN_XG,0.14,90
TOTAL_SHOTS,1.24,72
ASSISTS,0.06,47
XA,0.16,91
NON_PEN_XG+XA,0.30,92
SHOT_CREATIONS,2.71,83
PASSES_ATTEMPTED,52.78,52
PASS_COMPLETION_PERCENTAGE,84.7,56
PROGRESSIVE_PASSES,4.68,67
PROGRESSIVE CARRIES,4.57,62
DRIBBLES_COMPLETED,0.85,55
TOUCHES_IN_AREA,3.95,98
PROGRESSIVE_PASSES_RECIEVED,5.58,96
PRESSURES,19.12,60
TACKLES,1.80,27
INTERCEPTIONS,0.90,19
BLOCKS,1.47,38
CLEARANCES,0.79,17
AERIAL_DUELS_WON,0.73,28
