Connolly,Aaron,Brighton
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,17
NON_PEN_XG,0.40,68
TOTAL_SHOTS,2.62,62
ASSISTS,0.11,47
XA,0.02,1
NON_PEN_XG+XA,0.42,34
SHOT_CREATIONS,1.37,8
PASSES_ATTEMPTED,11.49,1
PASS_COMPLETION_PERCENTAGE,78.2,83
PROGRESSIVE_PASSES,0.34,1
PROGRESSIVE CARRIES,1.93,28
DRIBBLES_COMPLETED,0.91,40
TOUCHES_IN_AREA,4.32,19
PROGRESSIVE_PASSES_RECIEVED,7.28,44
PRESSURES,14.11,49
TACKLES,0.80,64
INTERCEPTIONS,0.00,1
BLOCKS,1.02,81
CLEARANCES,0.11,4
AERIAL_DUELS_WON,1.25,34
