Veltman,Joël,Brighton
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,55
NON_PEN_XG,0.06,70
TOTAL_SHOTS,0.55,51
ASSISTS,0.04,25
XA,0.04,17
NON_PEN_XG+XA,0.10,36
SHOT_CREATIONS,1.62,47
PASSES_ATTEMPTED,58.83,72
PASS_COMPLETION_PERCENTAGE,77.3,43
PROGRESSIVE_PASSES,4.77,81
PROGRESSIVE CARRIES,4.06,37
DRIBBLES_COMPLETED,0.83,57
TOUCHES_IN_AREA,1.46,51
PROGRESSIVE_PASSES_RECIEVED,1.38,19
PRESSURES,12.31,47
TACKLES,3.04,91
INTERCEPTIONS,1.38,64
BLOCKS,1.38,11
CLEARANCES,3.31,82
AERIAL_DUELS_WON,1.89,86
