Guilbert,Frederic,Aston Villa
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,80
NON_PEN_XG,0.05,64
TOTAL_SHOTS,1.21,91
ASSISTS,0.32,98
XA,0.10,62
NON_PEN_XG+XA,0.15,65
SHOT_CREATIONS,1.86,61
PASSES_ATTEMPTED,52.68,45
PASS_COMPLETION_PERCENTAGE,68.4,5
PROGRESSIVE_PASSES,2.83,17
PROGRESSIVE CARRIES,5.41,65
DRIBBLES_COMPLETED,1.78,93
TOUCHES_IN_AREA,0.57,13
PROGRESSIVE_PASSES_RECIEVED,1.29,17
PRESSURES,18.99,98
TACKLES,2.99,90
INTERCEPTIONS,2.91,99
BLOCKS,2.26,75
CLEARANCES,2.75,62
AERIAL_DUELS_WON,1.54,72
