Cash,Matty,Aston Villa
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.01,15
TOTAL_SHOTS,0.34,23
ASSISTS,0.08,47
XA,0.08,51
NON_PEN_XG+XA,0.09,32
SHOT_CREATIONS,1.25,25
PASSES_ATTEMPTED,49.25,29
PASS_COMPLETION_PERCENTAGE,73.9,23
PROGRESSIVE_PASSES,2.43,9
PROGRESSIVE CARRIES,3.30,19
DRIBBLES_COMPLETED,0.38,11
TOUCHES_IN_AREA,1.10,35
PROGRESSIVE_PASSES_RECIEVED,1.06,11
PRESSURES,16.92,93
TACKLES,2.96,88
INTERCEPTIONS,1.86,91
BLOCKS,2.92,98
CLEARANCES,4.17,97
AERIAL_DUELS_WON,1.52,72
