El Ghazi,Anwar,Aston Villa
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.33,81
NON_PEN_XG,0.28,78
TOTAL_SHOTS,3.35,96
ASSISTS,0.00,3
XA,0.13,24
NON_PEN_XG+XA,0.41,58
SHOT_CREATIONS,3.07,45
PASSES_ATTEMPTED,34.20,30
PASS_COMPLETION_PERCENTAGE,70.5,25
PROGRESSIVE_PASSES,2.18,20
PROGRESSIVE CARRIES,5.97,51
DRIBBLES_COMPLETED,1.56,44
TOUCHES_IN_AREA,4.69,69
PROGRESSIVE_PASSES_RECIEVED,7.31,68
PRESSURES,12.16,19
TACKLES,0.89,21
INTERCEPTIONS,0.56,25
BLOCKS,0.61,6
CLEARANCES,0.67,64
AERIAL_DUELS_WON,1.67,89
