McGinn,John,Aston Villa
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,69
NON_PEN_XG,0.06,52
TOTAL_SHOTS,1.24,72
ASSISTS,0.14,79
XA,0.08,63
NON_PEN_XG+XA,0.14,58
SHOT_CREATIONS,2.70,83
PASSES_ATTEMPTED,37.78,15
PASS_COMPLETION_PERCENTAGE,77.3,13
PROGRESSIVE_PASSES,4.84,70
PROGRESSIVE CARRIES,3.35,36
DRIBBLES_COMPLETED,1.51,88
TOUCHES_IN_AREA,1.57,72
PROGRESSIVE_PASSES_RECIEVED,2.84,76
PRESSURES,17.54,45
TACKLES,2.00,40
INTERCEPTIONS,1.22,43
BLOCKS,1.05,8
CLEARANCES,0.81,17
AERIAL_DUELS_WON,0.73,28
