Trézéguet,,Aston Villa
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,28
NON_PEN_XG,0.29,80
TOTAL_SHOTS,2.70,80
ASSISTS,0.08,12
XA,0.15,40
NON_PEN_XG+XA,0.45,69
SHOT_CREATIONS,2.47,22
PASSES_ATTEMPTED,25.32,3
PASS_COMPLETION_PERCENTAGE,69.5,22
PROGRESSIVE_PASSES,2.16,19
PROGRESSIVE CARRIES,4.86,29
DRIBBLES_COMPLETED,2.01,66
TOUCHES_IN_AREA,5.71,83
PROGRESSIVE_PASSES_RECIEVED,5.02,22
PRESSURES,23.46,98
TACKLES,2.47,97
INTERCEPTIONS,0.85,61
BLOCKS,2.08,96
CLEARANCES,1.24,93
AERIAL_DUELS_WON,2.24,95
