Elmohamady,Ahmed,Aston Villa
RB,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.05,69
TOTAL_SHOTS,0.97,86
ASSISTS,0.00,7
XA,0.06,33
NON_PEN_XG+XA,0.12,45
SHOT_CREATIONS,2.25,80
PASSES_ATTEMPTED,63.72,84
PASS_COMPLETION_PERCENTAGE,78.1,49
PROGRESSIVE_PASSES,5.15,86
PROGRESSIVE CARRIES,4.72,50
DRIBBLES_COMPLETED,0.43,15
TOUCHES_IN_AREA,1.50,53
PROGRESSIVE_PASSES_RECIEVED,2.04,43
PRESSURES,7.94,5
TACKLES,1.93,46
INTERCEPTIONS,2.90,99
BLOCKS,1.61,21
CLEARANCES,3.43,85
AERIAL_DUELS_WON,2.90,97
