Rashford,Marcus,Manchester Utd
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.39,87
NON_PEN_XG,0.33,89
TOTAL_SHOTS,2.75,82
ASSISTS,0.23,67
XA,0.11,18
NON_PEN_XG+XA,0.44,68
SHOT_CREATIONS,3.36,56
PASSES_ATTEMPTED,37.26,48
PASS_COMPLETION_PERCENTAGE,80.3,81
PROGRESSIVE_PASSES,3.04,49
PROGRESSIVE CARRIES,6.26,58
DRIBBLES_COMPLETED,2.93,90
TOUCHES_IN_AREA,5.97,85
PROGRESSIVE_PASSES_RECIEVED,8.96,90
PRESSURES,11.05,10
TACKLES,0.61,4
INTERCEPTIONS,0.32,3
BLOCKS,0.86,16
CLEARANCES,0.32,27
AERIAL_DUELS_WON,0.68,53
