de Gea,David,Manchester Utd
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.26,8
GOALS_CONCEDED,1.30,61
SAVE_PERCENTAGE,66.7,38
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.31,67
PENALTY_SAVE_PERCENTAGE,0.0,18
CLEAN_SHEET_PERCENTAGE,32.4,75
TOUCHES,25.87,1
LAUNCH_PERCENTAGE,37.5,37
GOAL_KICKS,7.22,49
AVG_GOAL_KICK_DISTANCE,33.9,16
CROSSES_STOPPED_PERCENTAGE,4.4,6
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.43,23
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.2,43
