Pogba,Paul,Manchester Utd
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,88
NON_PEN_XG,0.10,78
TOTAL_SHOTS,1.57,88
ASSISTS,0.20,91
XA,0.11,79
NON_PEN_XG+XA,0.21,79
SHOT_CREATIONS,3.48,93
PASSES_ATTEMPTED,63.51,80
PASS_COMPLETION_PERCENTAGE,83.2,41
PROGRESSIVE_PASSES,5.90,87
PROGRESSIVE CARRIES,6.52,89
DRIBBLES_COMPLETED,2.07,97
TOUCHES_IN_AREA,3.21,96
PROGRESSIVE_PASSES_RECIEVED,4.92,94
PRESSURES,15.41,21
TACKLES,1.97,38
INTERCEPTIONS,1.08,32
BLOCKS,1.15,13
CLEARANCES,2.00,80
AERIAL_DUELS_WON,2.49,92
