McTominay,Scott,Manchester Utd
DM,RDM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,78
NON_PEN_XG,0.08,67
TOTAL_SHOTS,1.13,66
ASSISTS,0.06,49
XA,0.05,31
NON_PEN_XG+XA,0.13,50
SHOT_CREATIONS,1.45,31
PASSES_ATTEMPTED,52.47,52
PASS_COMPLETION_PERCENTAGE,86.7,71
PROGRESSIVE_PASSES,4.56,63
PROGRESSIVE CARRIES,5.22,76
DRIBBLES_COMPLETED,1.42,84
TOUCHES_IN_AREA,1.77,79
PROGRESSIVE_PASSES_RECIEVED,1.51,42
PRESSURES,15.24,21
TACKLES,2.03,42
INTERCEPTIONS,1.92,89
BLOCKS,2.18,87
CLEARANCES,2.00,80
AERIAL_DUELS_WON,1.92,84
