Tuanzebe,Axel,Manchester Utd
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,-0.12,1
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.12,2
ASSISTS,0.00,31
XA,0.01,50
NON_PEN_XG+XA,0.01,1
SHOT_CREATIONS,0.24,9
PASSES_ATTEMPTED,50.96,42
PASS_COMPLETION_PERCENTAGE,91.0,87
PROGRESSIVE_PASSES,1.93,22
PROGRESSIVE CARRIES,3.01,60
DRIBBLES_COMPLETED,0.00,2
TOUCHES_IN_AREA,0.24,3
PROGRESSIVE_PASSES_RECIEVED,0.36,81
PRESSURES,13.01,92
TACKLES,2.17,84
INTERCEPTIONS,0.72,4
BLOCKS,2.65,99
CLEARANCES,4.58,35
AERIAL_DUELS_WON,1.57,9
