James,Daniel,Manchester Utd
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,63
NON_PEN_XG,0.24,65
TOTAL_SHOTS,1.53,25
ASSISTS,0.12,25
XA,0.11,18
NON_PEN_XG+XA,0.35,41
SHOT_CREATIONS,1.65,4
PASSES_ATTEMPTED,30.00,17
PASS_COMPLETION_PERCENTAGE,77.1,62
PROGRESSIVE_PASSES,2.76,39
PROGRESSIVE CARRIES,5.88,49
DRIBBLES_COMPLETED,1.10,19
TOUCHES_IN_AREA,4.22,61
PROGRESSIVE_PASSES_RECIEVED,6.06,37
PRESSURES,20.57,88
TACKLES,1.29,51
INTERCEPTIONS,0.80,56
BLOCKS,1.16,46
CLEARANCES,0.49,48
AERIAL_DUELS_WON,0.80,60
