Hart,Joe,Tottenham
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.05,43
GOALS_CONCEDED,0.68,99
SAVE_PERCENTAGE,75.0,87
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.23,1
CLEAN_SHEET_PERCENTAGE,66.7,99
TOUCHES,29.32,8
LAUNCH_PERCENTAGE,60.1,89
GOAL_KICKS,4.41,3
AVG_GOAL_KICK_DISTANCE,46.9,58
CROSSES_STOPPED_PERCENTAGE,17.9,99
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.68,64
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,16.1,83
