Kane,Harry,Tottenham
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.58,85
NON_PEN_XG,0.55,90
TOTAL_SHOTS,4.03,96
ASSISTS,0.42,99
XA,0.23,93
NON_PEN_XG+XA,0.78,93
SHOT_CREATIONS,3.37,88
PASSES_ATTEMPTED,27.96,73
PASS_COMPLETION_PERCENTAGE,69.7,31
PROGRESSIVE_PASSES,3.60,93
PROGRESSIVE CARRIES,4.35,80
DRIBBLES_COMPLETED,1.33,69
TOUCHES_IN_AREA,4.98,42
PROGRESSIVE_PASSES_RECIEVED,6.73,34
PRESSURES,11.21,23
TACKLES,0.53,34
INTERCEPTIONS,0.42,74
BLOCKS,0.85,65
CLEARANCES,1.14,89
AERIAL_DUELS_WON,2.68,68
