Reguilón,Sergio,Tottenham
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,49
NON_PEN_XG,0.06,71
TOTAL_SHOTS,0.79,74
ASSISTS,0.13,74
XA,0.07,41
NON_PEN_XG+XA,0.13,55
SHOT_CREATIONS,1.76,55
PASSES_ATTEMPTED,55.31,57
PASS_COMPLETION_PERCENTAGE,76.9,41
PROGRESSIVE_PASSES,3.15,28
PROGRESSIVE CARRIES,4.75,50
DRIBBLES_COMPLETED,1.29,80
TOUCHES_IN_AREA,2.17,79
PROGRESSIVE_PASSES_RECIEVED,3.34,80
PRESSURES,15.52,84
TACKLES,2.01,52
INTERCEPTIONS,1.26,53
BLOCKS,2.30,77
CLEARANCES,2.39,49
AERIAL_DUELS_WON,1.20,50
